"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"997-1","997-merged_d765348335149d43807a","997-2514_0082","Bon Viatge","","","VT22","997-6","",""
"997-2","997-2514","997-2514_0515","Francesc Macià","","","VT23","997-3","",""
"997-3","997-2514","997-2514_0516","Sant Feliu|C.C.","","","VT23","997-4","",""
"997-3","997-2514","997-2514_0517","Francesc Macià","","","VT23","997-5","",""
"997-1","997-2514","997-2514_0518","Bon Viatge","","","VT23","997-6","",""
"997-1","997-2514","997-2514_0519","Francesc Macià","","","VT23","997-7","",""
"997-2","997-2514","997-2514_0520","Llevant-L.Planes","","","VT23","997-10","",""
"997-3","997-2514","997-2514_0522","Sant Feliu|C.C.","","","VT23","997-11","",""
"997-3","997-2514","997-2514_0523","Francesc Macià","","","VT23","997-5","",""
"997-2","997-merged_0e2e275090ff1ecbeb9c","997-2514_0524","Llevant-L.Planes","","","VT23","997-1","",""
"997-2","997-2514","997-2514_0209","Francesc Macià","","","VT23","997-3","",""
"997-3","997-2514","997-2514_0312","Sant Feliu|C.C.","","","VT23","997-4","",""
"997-3","997-merged_0e2e275090ff1ecbeb9c","997-2514_0313","Francesc Macià","","","VT23","997-5","",""
"997-3","997-2514","997-2514_0314","Sant Feliu|C.C.","","","VT23","997-11","",""
"997-3","997-2514","997-2514_0315","Francesc Macià","","","VT23","997-5","",""
"997-3","997-merged_252f999e9f62d8411e84","997-2514_0316","Sant Feliu|C.C.","","","VT23","997-11","",""
"997-3","997-2514","997-2514_0317","Francesc Macià","","","VT23","997-5","",""
"997-3","997-merged_252f999e9f62d8411e84","997-2514_0318","Sant Feliu|C.C.","","","VT23","997-11","",""
"997-1","997-2514","997-2514_0526","Francesc Macià","","","VT24","997-9","",""
"997-2","997-merged_252f999e9f62d8411e84","997-2514_0527","Llevant-L.Planes","","","VT24","997-1","",""
"997-2","997-2514","997-2514_0528","Francesc Macià","","","VT24","997-2","",""
"997-3","997-2514","997-2514_0529","Sant Feliu|C.C.","","","VT24","997-11","",""
"997-3","997-2514","997-2514_0530","Francesc Macià","","","VT24","997-12","",""
"997-1","997-2514","997-2514_0531","Bon Viatge","","","VT24","997-8","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0282","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0283","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0284","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0285","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0286","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0287","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0288","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0289","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0290","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0291","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0292","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0293","Francesc Macià","","","ST01","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0277","Llevant-L.Planes","","","ST01","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0278","Francesc Macià","","","ST01","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0279","Llevant-L.Planes","","","ST01","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0280","Francesc Macià","","","ST01","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0001","Llevant-L.Planes","","","ST01","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0002","Francesc Macià","","","ST01","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0003","Llevant-L.Planes","","","ST01","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0004","Francesc Macià","","","ST01","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0005","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0006","Francesc Macià","","","ST01","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0007","Llevant-L.Planes","","","ST01","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0008","Francesc Macià","","","ST01","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0009","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0010","Francesc Macià","","","ST01","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0011","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-2516","997-2516_0012","Francesc Macià","","","ST01","997-5","",""
"997-3","997-2516","997-2516_0013","Sant Feliu|C.C.","","","ST01","997-11","",""
"997-3","997-2516","997-2516_0014","Francesc Macià","","","ST01","997-5","",""
"997-2","997-2516","997-2516_0015","Llevant-L.Planes","","","ST01","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0194","Llevant-L.Planes","","","ST02","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0195","Francesc Macià","","","ST02","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0196","Llevant-L.Planes","","","ST02","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0198","Llevant-L.Planes","","","ST02","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0199","Francesc Macià","","","ST02","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0200","Llevant-L.Planes","","","ST02","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0201","Francesc Macià","","","ST02","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0202","Llevant-L.Planes","","","ST02","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0203","Francesc Macià","","","ST02","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0294","Sant Feliu|C.C.","","","ST02","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0295","Francesc Macià","","","ST02","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0206","Llevant-L.Planes","","","ST02","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0207","Francesc Macià","","","ST02","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0017","Francesc Macià","","","ST02","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0018","Llevant-L.Planes","","","ST02","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0019","Francesc Macià","","","ST02","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0020","Sant Feliu|C.C.","","","ST02","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0021","Francesc Macià","","","ST02","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0022","Llevant-L.Planes","","","ST02","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0023","Francesc Macià","","","ST02","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0024","Sant Feliu|C.C.","","","ST02","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0300","Francesc Macià","","","ST03","997-5","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0232","Llevant-L.Planes","","","ST03","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0233","Francesc Macià","","","ST03","997-2","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0234","Llevant-L.Planes","","","ST03","997-1","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0235","Francesc Macià","","","ST03","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0236","Llevant-L.Planes","","","ST03","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0237","Francesc Macià","","","ST03","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0238","Llevant-L.Planes","","","ST03","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0239","Francesc Macià","","","ST03","997-3","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0240","Llevant-L.Planes","","","ST03","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0241","Francesc Macià","","","ST03","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0330","Sant Feliu|C.C.","","","ST03","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0331","Francesc Macià","","","ST03","997-12","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0181","Bon Viatge","","","ST03","997-8","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0318","Sant Feliu|C.C.","","","ST04","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0319","Francesc Macià","","","ST04","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0320","Sant Feliu|C.C.","","","ST04","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0321","Francesc Macià","","","ST04","997-12","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0322","Sant Feliu|C.C.","","","ST04","997-4","",""
"997-3","997-merged_9a48a577e152c3639c27","997-2516_0323","Francesc Macià","","","ST04","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0324","Sant Feliu|C.C.","","","ST04","997-11","",""
"997-3","997-merged_9a48a577e152c3639c27","997-2516_0325","Francesc Macià","","","ST04","997-5","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0326","Sant Feliu|C.C.","","","ST04","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0327","Francesc Macià","","","ST04","997-12","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0211","Llevant-L.Planes","","","ST04","997-10","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0212","Francesc Macià","","","ST04","997-2","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0313","Sant Feliu|C.C.","","","ST04","997-11","",""
"997-3","997-merged_0eba85c7d3483c8d806f","997-2516_0314","Francesc Macià","","","ST04","997-12","",""
"997-1","997-merged_0eba85c7d3483c8d806f","997-2516_0185","Bon Viatge","","","ST04","997-8","",""
"997-2","997-merged_0eba85c7d3483c8d806f","997-2516_0210","Francesc Macià","","","ST05","997-2","",""
